,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
10,"RT @Dreamitbig135: #mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)…","RT  #mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)…","RT  #mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)…","  #mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)…",  mumbaiweather today is pure Sunday bliss Such days deserve nothing but good food home comfort and couch loyalties …,"['mumbaiweather', 'today', 'pure', 'Sunday', 'bliss', 'Such', 'days', 'deserve', 'nothing', 'good', 'food', 'home', 'comfort', 'couch', 'loyalties', '…']"
11,"#mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)
#Mumbai #mumbaiRains","#mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)
#Mumbai #mumbaiRains","#mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)
#Mumbai #mumbaiRains","#mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)
#Mumbai #mumbaiains","mumbaiweather today is pure Sunday bliss Such days deserve nothing but good food home comfort and couch loyalties 
Mumbai mumbaiains","['mumbaiweather', 'today', 'pure', 'Sunday', 'bliss', 'Such', 'days', 'deserve', 'nothing', 'good', 'food', 'home', 'comfort', 'couch', 'loyalties', 'Mumbai', 'mumbaiains']"
12,Watching @modernlovetv season 1 on #IndependenceDay . May be little late in joining the party..But here I am. And t… https://t.co/PMQivsfiB2,Watching  season 1 on #IndependenceDay . May be little late in joining the party..But here I am. And t… https://t.co/PMQivsfiB2,Watching  season 1 on #IndependenceDay . May be little late in joining the party..But here I am. And t… ,Watching  season  on #IndependenceDay . May be little late in joining the party..But here I am. And t… ,Watching  season  on IndependenceDay  May be little late in joining the partyBut here I am And t… ,"['Watching', 'season', 'IndependenceDay', 'May', 'little', 'late', 'joining', 'partyBut', 'I', 'And', 't…']"
13,"RT @ya_maddy12: The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","RT  The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","RT  The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","  he rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","  he rain is falling and so I am❤️

lonavala mumbai mumbaimaharastra lonavalarain lonavaladiary amachimumbai mumba…","['rain', 'falling', 'I', 'am❤️', 'lonavala', 'mumbai', 'mumbaimaharastra', 'lonavalarain', 'lonavaladiary', 'amachimumbai', 'mumba…']"
14,#MumbaiWeather Rain today! With a high of 29C and a low of 26C.,#MumbaiWeather Rain today! With a high of 29C and a low of 26C.,#MumbaiWeather Rain today! With a high of 29C and a low of 26C.,#MumbaiWeather ain today! With a high of C and a low of C.,MumbaiWeather ain today With a high of C and a low of C,"['MumbaiWeather', 'today', 'With', 'high', 'C', 'low', 'C']"
15,"RT @RoarWeather: #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","RT  #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","RT  #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","  #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","  India IndianAirForce IndianArmy IndianNavy IndiaAt

mumbairain Mumbai Goa amrutmahotsav
Maharashtra mumbaiwea…","['India', 'IndianAirForce', 'IndianArmy', 'IndianNavy', 'IndiaAt', 'mumbairain', 'Mumbai', 'Goa', 'amrutmahotsav', 'Maharashtra', 'mumbaiwea…']"
16,"RT @RoarWeather: #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","RT  #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","RT  #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","  #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…","  India IndianAirForce IndianArmy IndianNavy IndiaAt

mumbairain Mumbai Goa amrutmahotsav
Maharashtra mumbaiwea…","['India', 'IndianAirForce', 'IndianArmy', 'IndianNavy', 'IndiaAt', 'mumbairain', 'Mumbai', 'Goa', 'amrutmahotsav', 'Maharashtra', 'mumbaiwea…']"
17,"#India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra… https://t.co/lkBIAIgydt","#India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra… https://t.co/lkBIAIgydt","#India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra… ","#India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra… ","India IndianAirForce IndianArmy IndianNavy IndiaAt

mumbairain Mumbai Goa amrutmahotsav
Maharashtra… ","['India', 'IndianAirForce', 'IndianArmy', 'IndianNavy', 'IndiaAt', 'mumbairain', 'Mumbai', 'Goa', 'amrutmahotsav', 'Maharashtra…']"
18,"#MumbaiWeather - Sunrise: August 15, 2021 at 06:19AM Heavy Rain today! With a high of: 29C and a low of:26C #DailyUpdate #WeatherReports","#MumbaiWeather - Sunrise: August 15, 2021 at 06:19AM Heavy Rain today! With a high of: 29C and a low of:26C #DailyUpdate #WeatherReports","#MumbaiWeather - Sunrise: August 15, 2021 at 06:19AM Heavy Rain today! With a high of: 29C and a low of:26C #DailyUpdate #WeatherReports","#MumbaiWeather - Sunrise: August ,  at :AM Heavy ain today! With a high of: C and a low of:C #DailyUpdate #Weathereports",MumbaiWeather  Sunrise August   at AM Heavy ain today With a high of C and a low ofC DailyUpdate Weathereports,"['MumbaiWeather', 'Sunrise', 'August', 'AM', 'Heavy', 'today', 'With', 'high', 'C', 'low', 'ofC', 'DailyUpdate', 'Weathereports']"
19,"RT @SkymetWeather: Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","RT  Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","RT  Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather ","  Such a pleasant start to a Sunday morning. 
#Mumbaiains #Mumbai #mumbaiweather ","  Such a pleasant start to a Sunday morning 
Mumbaiains Mumbai mumbaiweather ","['Such', 'pleasant', 'start', 'Sunday', 'morning', 'Mumbaiains', 'Mumbai', 'mumbaiweather']"
