Sentiment,Tweets
[0],['  Has Infosys stock finally moved past Whistleblower allegations\n\n\n\n ISector StockMarket StockOn…']
[4],['  Infosys Set to Launch Cyber Defense Center in Indianapolis\n\n CyberDefenseCenter Indianapolis \n\n']
[0],['  Digital echnology is Driving ennis Experience Beyond the Golden Era\n\nDigitalechnology ennisExperience GoldenEra ']
[4],['       hank you so much 🙏']
[4],['Infosys Set to Launch Cyber Defense Center in Indianapolis\n\n CyberDefenseCenter Indianapolis… ']
[4],['  HYSEA’s Signature initiative DDI has grown to reach  Digital Labs and covers  students thanks to corporates such a…']
[0],['Digital echnology is Driving ennis Experience Beyond the Golden Era\n\nDigitalechnology ennisExperience… ']
[0],['   Could you please look into this matter of     ']
[0],[' I cannot login into my exam desk of infytq please help I want give the test honestly\nEmail id  ankitmishra']
[0],['       Dear SirMad… ']
[0],['   Verizon layoffs ']
[0],['Infosys th global Cyber Defense Center set to open in Indianapolis\xa0 \nInfosys cybersecurity Indianapolis\xa0 \n']
[0],['his was years ago when we were dancing like crazy for evry show competition at Infosys and Intercorporates 😁 ca… ']
[0],['      \n\nMachineLearninginH \nstudentlife\nengineers\nrumpInIndia\ninternetof…']
[0],['  With hope that  will start operation any moment real estate value of gokul road got doubled in few days and now…']
[0],['InheNews Here are a few things to know about our skilling programme ead more \n\nCSiON… ']
[0],['   months  nominations  shortlists and countless hours of grueling evaluations later we finally have our win…']
[4],['  SPI Congratulates Ms Infosys Ltd awarded as “op IIES Exporter” Exports above s  Crs at SPIINDIA ExportAwards…']
[0],['       Another of the most infamous HB replacement fiascos SoCal Edi…']
[0],['InfosysDigital echnology is Driving ennis Experience Beyond the Golden Era ']
[0],['Has Infosys stock finally moved past Whistleblower allegations\n\n\n\n ISector StockMarket… ']
[0],['       Another of the most infamous HB replacement fiascos SoCal Edi…']
[0],['  Verizon laid off  US mediatech workers in December he year prior they laid off  w Indian jobs going t…']
[0],['      Harley Davison outsourced US tech workers in  and again in  to…']
[0],['   Could you please look into this matter of     ']
[0],[' Hi can you share contact of who is looking after environmental issues in ']
[0],['   months  nominations  shortlists and countless hours of grueling evaluations later we finally have our win…']
[0],['With hope that  will start operation any moment real estate value of gokul road got doubled in few days an… ']
[4],['  ennis must embrace new inclusive experiences powered by tech amp analytics to engage the next generation of fans reveals o…']
[0],['  Verizon laid off  US mediatech workers in December he year prior they laid off  w Indian jobs going t…']
[0],['   Could you please look into this matter of     ']
[0],['   Could you please look into this matter of     ']
[0],[' Could you please look into this matter of     ']
[0],['   months  nominations  shortlists and countless hours of grueling evaluations later we finally have our win…']
[4],['  ennis must embrace new inclusive experiences powered by tech amp analytics to engage the next generation of fans reveals o…']
[0],['Going for the skill Learn the CS Infosys way\n']
[0],['  Intercity bus service startup IntrCity by ailYatri has raised ₹ crore   million in its Series B funding round…']
[0],['       Another of the most infamous HB replacement fiascos SoCal Edi…']
[0],['CS Infosys plan to expand skilling programmes  things to know ']
[0],['      Harley Davison outsourced US tech workers in  and again in  to…']
[0],['Infosys partners with GE Appliances ']
[4],['ennis must embrace new inclusive experiences powered by tech amp analytics to engage the next generation of fans… ']
