Sentiment,Tweets
[3],[' districts in Maharashtra are far behind in their vaccination target hese districts are \nAkola\nGadchiroli\nJalgao… ']
[3],['  DeltaPlusVariant of Covid has been detected in Vidarbhas three districts\n\n Chandrapur\n Gondia\n Akola\n\not…']
[3],['  NEWSUPDAE  more samples with DeltaPlusVariant reported taking the count to  Of the   from Mumbai  Pune  e…']
[3],['  DeltaPlusVariant of Covid has been detected in Vidarbhas three districts\n\n Chandrapur\n Gondia\n Akola\n\not…']
[3],['DeltaPlusVariant of Covid has been detected in Vidarbhas three districts\n\n Chandrapur\n Gondia\n Akola… ']
[3],['  Nagpur Delta Plus variant of Covid has been detected in Vidarbhas three districts Chandrapur Gondia and Akola otal…']
[3],['  Nagpur Delta Plus variant of Covid has been detected in Vidarbhas three districts Chandrapur Gondia and Akola otal…']
[3],['  Nagpur Delta Plus variant of Covid has been detected in Vidarbhas three districts Chandrapur Gondia and Akola otal…']
[3],['  Nagpur Delta Plus variant of Covid has been detected in Vidarbhas three districts Chandrapur Gondia and Akola otal…']
[3],['Nagpur Delta Plus variant of Covid has been detected in Vidarbhas three districts Chandrapur Gondia and Akol… ']
[3],['  NEWSUPDAE  more samples with DeltaPlusVariant reported taking the count to  Of the   from Mumbai  Pune  e…']
[3],['  NEWSUPDAE  more samples with DeltaPlusVariant reported taking the count to  Of the   from Mumbai  Pune  e…']
[3],['  NEWSUPDAE  more samples with DeltaPlusVariant reported taking the count to  Of the   from Mumbai  Pune  e…']
[3],['NEWSUPDAE  more samples with DeltaPlusVariant reported taking the count to  Of the   from Mumbai … ']
[3],['As Maharashtra opens up a rude reminder about the creeping rise in infections caused by the DeltaPlusVariant … ']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['  ook a detailed review of Land Acq issues of Akola airport ']
[3],['  ashmi Mettalic had to replace  kms of mm dia ductile iron pipes because of sub sta… ']
[3],['bombayhighcourt akola\nBombay High Court hrowing love letter at a married woman is a crime\nIt is a crime to thro… ']
[3],['All in one website for Blogger and Wordpress users\n\nAll tools for free\n\nYouube Channel link in bio\n\nClick on th… ']
[3],['  ook a detailed review of Land Acq issues of Akola airport ']
[3],['ook a detailed review of Land Acq issues of Akola airport ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['  GoodNews As per yesterdays state health report Dhule dist has  active Covid cases followed by Bhandara which has o…']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[1],['Excited to share this item from my etsy shop Akola Cheetah print drop earrings  ']
[3],['  INDIGO \nCOULDN SAY IN HE LAS IME EXENDED MIX\nAkola\n beatport \n\nhousemusi…']
[3],['  INDIGO \nCOULDN SAY IN HE LAS IME EXENDED MIX\nAkola\n beatport \n\nhousemusi…']
[3],['UPDAE on COVID\nMaharashtra records  fresh infections pushing count to  Districts Dhule Nandur… ']
[3],['   Which Is Your Favorite Song From BellBottom Album  \n\nBhushan Adhau From AKOLA  Maharashtra']
[3],['   How Much You Enjoyed Playing oles Of aw Agents  Police Officers And Ar… ']
[3],['   Share Your Experience Of Working With KatrinaKaif After Long ime In… ']
[3],['     What Is he Best hing hat You Love Most About Your Chara… ']
[3],['   What Is he Best Quality You Loved Most About Akshay Sir  ']
[3],['   Sir AkshayKumar  After A Long ime Cinemas Gonna Open And As You Know Y… ']
[3],['   What Message Will BellBottom Movie Gonna Give o All Audiences \nBhushan… ']
[3],['INDIGO \nCOULDN SAY IN HE LAS IME EXENDED MIX\nAkola\n beatport \n ']
[3],['   What Is One Common hing In Your Character Ajay From Baby And Agent Bell… ']
[3],['   What Is he Best hing About BellBottom  \n\nBhushan Adhau From AKOLA Maharashtra']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['career job pgcrb ipb \nDo you wish to Starts your Career in Banking\nSo you came to the right place\nIPB provid… ']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['  days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['days to go celebration coming soon Akola Adians\n\nBHUJ IN DAYS']
[3],['ENDLESS SUN \nEXENDED MIX\nAkola\n beatport \n\nhousemusic DeepHouse… ']
[3],[' What about that women from akola sarrr']
[3],[' Unauthorised changes by the land record by Akola Land ecord Office are observed and despite several r… ']
[3],['MAKES YOU LIFE Memorable Choose our LUXUEY FLA\n\nVUNDAWAN PIME\n\nBest Amenities In An Apartment\n\nNear ahatgaon… ']
[3],['  Just a note someone is leaking some of my private Halo stuff so take care of  LeakyHalo and similar accounts on twitter']
[3],['   passport renewal I am waiting for my passport renewal since from  hr at akola… ']
[3],['  nowadays in Akola every  days there is going to have leakage problem in Akola  mahan water pipe… ']
[3],['   Dear Sir I owned Samsung Galaxy A purchased from Muscat Oman six months back which need servicing as…']
[3],['  GoodNews As per yesterdays state health report Dhule dist has  active Covid cases followed by Bhandara which has o…']
[3],['    Wise']
[3],['GoodNews As per yesterdays state health report Dhule dist has  active Covid cases followed by Bhandara which… ']
[3],[' Dear Sir I owned Samsung Galaxy A purchased from Muscat Oman six months back which need servicing… ']
[3],[' \nGarg enterprises i want mustard oil in Akola Mahrashtra dealer and company officer always saying that n… ']
[3],['I contacted customer support as well as dealer ie Satish Motors Akola But they are just delaying the issue I re… ']
[3],['     Dear Consumer we deeply regret the inconvenience caused and w… ']
[3],['  odays Forecast\n➡️ Nagpur Gondia Bhandara Chandrapur Gadchiroli Yavtmal districts will receive intense scattered thunderst…']
[3],['  Why for that matter try to remember what MH was like In an inconsequential place like Akola every other day saw riots and…']
[3],['     Department look when their wll any accident happen\nBefore they has no time']
[3],['Why for that matter try to remember what MH was like In an inconsequential place like Akola every other day saw… ']
[5],['   yrs old ushita an Behçet’s disease patient is an remarkable and amazing girl  she is good writer and earn s  per m…']
[3],['odays Forecast\n➡️ Nagpur Gondia Bhandara Chandrapur Gadchiroli Yavtmal districts will receive intense scattered… ']
[5],[' yrs old ushita an Behçet’s disease patient is an remarkable and amazing girl  she is good writer and earn s … ']
[5],['   yrs old Vaibhav Pawar cancersurvivor clicks this lovely flowers from akola \ncancerawareness ChildhoodCancer Flo…']
[5],[' yrs old Vaibhav Pawar cancersurvivor clicks this lovely flowers from akola \ncancerawareness ChildhoodCancer… ']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],[' HON AND ES SI I WAN O ELL YOU HA KHANDWAAKOLA SECION IS PA OF MP AND MH SAE UNDE… ']
[3],[' I’ve given up o']
[3],[' How small are your ears or eardrums\n\nAt this point you should just give up on Airport']
[3],['   hats what your father people thought as well\n\nBeing protective Defend the very… ']
[3],['    If you say so']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['    Once she PECEIVES\nIs it you getting married or your mum\ndont me… ']
[1],[' Is there possibility of rain in akola tonight']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['   You call it evil she calls it being protective My mum will not hurt anyone t… ']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['UPDAE on COVID\nMaharashtra records  fresh infections pushing count to  Not a single case was re… ']
[3],['         ']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['  oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the martyrs…']
[3],['oday August  is August evolution Day On this day the Akola District Congress Committee paid homage to the ma… ']
[5],['  Welcome to GOVINDAGOUP where convenience amp a great lifestyle unite to create a truly immersive experience\n\neady to…']
[3],['   Im speechless']
[5],['Akola District Palakmantri Divyang Survey launched\n\nVision of  🙏\n\nIt was great to have you bhau… ']
[3],['   Your mother that they discriminated  for lack of a better word against would sti… ']
[3],[' he Guardian Minister Bachchu Kadu inaugurated the Android App for the Akola District Palakmantri D… ']
[3],[' 𝘋𝘪𝘴𝘵𝘳𝘪𝘤𝘵 𝘎𝘶𝘢𝘳𝘥𝘪𝘢𝘯 𝘔𝘪𝘯𝘪𝘴𝘵𝘦𝘳 𝘏𝘰𝘯 𝘖𝘮𝘱𝘳𝘢𝘬𝘢𝘴𝘩 𝘢𝘭𝘪𝘢𝘴 𝘉𝘢𝘤𝘤𝘩𝘶 𝘒𝘢𝘥𝘶 expressed his confidence in this projec… ']
[3],['I have been working as a project head on a very noble cause for the Disabled People in Akola District  Vision of H… ']
[3],['   you know it is okay if your friend doesn’t need what you sell or the services you renderthey can show support in differ…']
[1],['hunderstrom with lightning and light to moderate rainfall very likely to occur at isolated places over Akola Amra… ']
[5],['Welcome to GOVINDAGOUP where convenience amp a great lifestyle unite to create a truly immersive experience\n\nead… ']
[3],[' Hii I have chasing DDC courier services since  days but no one is picking phone from akola location m… ']
[3],[' \nHi sir can we increase CNG station in vidharbh region\n\nNo CNG station in akola amravati  and other region']
[5],['Financial support of s  per year through PMKISAAN Scheme to farmers family is a great achievement of Indian… ']
[5],['Opposition to minister Bharsakle governance roads development telhara akot akola negligence rage against… ']
[3],['cabservicestaxitaxiservicesoutstationcabservicesbookonewaycabonesidetaxionewaytaxioutstationcabroundtrip… ']
[3],['  Lights camera BellBottom in ACION 😎\nCatch this behind the scene video  \nBellBottom releasing o…']
[3],['  We are so delighted to announce that DCot has now opened its exclusive store in Akola  Maharasht… ']
[5],[' Sir come to Vidarbha Basic intercity roads are missing Check AKOLA  Akot road Old road is dogged… ']
[3],['   A trolley of red colour was stolen on train having  train number … ']
[3],['We are so delighted to announce that DCot has now opened its exclusive store in Akola  Maharashtra 💙\n\nDont forge… ']
[3],['Get ready for your first cinema experience after Covid\nDaysoBellBottom \n\nBellBottom releasing in cinemas Fro… ']
[3],['My article in ahenumaye barar weekly akola ']
[3],[' years since I traveled in a S Bus\n\nHere I am again travelling from Akola to Murtizapur\n\nGetting my body mass… ']
[3],['🙏🙏\n\nCongratulations 🎉🎊🎉\nMany many eturns of the day \nMama ji\nनागेशदादासोनपसारेसमाजकल्याणसभापती… ']
[3],['  But of all what you had you mastered only that Meaning that akola nebirungi and to… ']
[3],['Connecting you to the perfect location\n\nVUNDAWAN\n\n BHK  Lacs Onwards\n\n BHK  Lacs Onwards\n\nCall  t… ']
[3],['  We visited Dnyandarpan English school along with the otary club of Akola and France elecom to personally deliver  devi…']
[3],['  We visited Dnyandarpan English school along with the otary club of Akola and France elecom to personally deliver  devi…']
[3],[' Download amp upload Speed Problem \nLocation Akola Maharashtra\nContact details']
[3],['Dear sirI am continuously doing complaints to sbi  treasure branch akola\nIssue is bank Is debititing my whole… ']
[5],['  Not a great Sunday when Principals of lowfee affordable schools running in smaller towns amp villages in AmravatiAkola…']
[5],['  Not a great Sunday when Principals of lowfee affordable schools running in smaller towns amp villages in AmravatiAkola…']
[3],[' Hello']
[3],['     Dear consumer we apologize for the unpleasant experience We… ']
[3],['     As i talk to your costumer care this sr number was closed by msed… ']
[5],['  Not a great Sunday when Principals of lowfee affordable schools running in smaller towns amp villages in AmravatiAkola…']
[5],['  Not a great Sunday when Principals of lowfee affordable schools running in smaller towns amp villages in AmravatiAkola…']
[5],['  Not a great Sunday when Principals of lowfee affordable schools running in smaller towns amp villages in AmravatiAkola…']
[5],['Not a great Sunday when Principals of lowfee affordable schools running in smaller towns amp villages in AmravatiAk… ']
[3],['Hearty Welcome Honble espected   Sahab in  maharashtra\n  \n']
[3],['We visited Dnyandarpan English school along with the otary club of Akola and France elecom to personally deliver… ']
[3],['Staff nurse Male Candidates otal Vacancies in Dhs advertisement\n Aurangabad  \n Nagpur  \n Latur  \n… ']
[3],[' this is the condition of Akola fish market ajnapeth road Akola gutters are overloaded with dirt and b… ']
[3],[' 🙈🙈 akola    kirabika you have same mayembe  as your followers  this  is incredible  big up on your self man']
[3],[' \n\nWELL DONE SHABBBAAAAS\n\nHE WHOLE COUNY POUD ON YOU\n\nEMAIN SAME CHAMP\n\nCOZ SOON U W… ']
[3],[' What happened to hair emoval 💀😹 ate wax akola atya 👀']
[3],['Congratulations Neeraj Chopra on Winning the First ever Athletics Gold Medal and creating History \nYou’ve made the… ']
[3],['We thank Mahesh Dinkarrao Nimkale for registering as O blood donor in Akola Maharashtra FriendsSupport']
[3],[' worst customer care I have ever witnessed\nService centre in Akola    Maharashtra  not giv… ']
[3],['Akshay Sir clicked during BellBottom promotion At\nheKapilSharmaShow 🔥🙌\n\n  ']
[3],[' I try with everything shailesh ji but no way to get this back Hacker rest my phone to change my iP address also']
[3],[' Go to forget password ry to access with old password from same location where you have used it mo… ']
[3],[' In my area booking process is solw please increase it in geeta Nagar  city name akola Maharashtra']
[3],[' please start Amravati Jabalpur express from Akola for better revenuestarting from Akola will also cover Badnera Amravati']
[3],['  Smaller cities lack basic infrastructurelike in Akola city still doesnt have JIO Fibre or… ']
[3],[' here is blue washing soap I dont know the name but boi akola ekyovu If you know you know\n\nSome… ']
[3],['  Celebrated th Birthday on Aug\nImmortalized himself on Aug\n\nhis UnsungHero from Akola gave Sarvochh Balida…']
[3],['Akola allows barrestaurants open till pm on weekdays\n \nDownload the OI app now\n']
[3],['Akola allows barrestaurants open till pm on weekdays  via ']
[3],['Medical coding training in Akola  ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['      Wishing every member of adio Orange a very Happy th Annivers…']
[3],['    Wishing every member of adio Orange a very Happy th Anniv… ']
[3],['hrowback \nChecking efficacy of bioagents richoderma Bsibtilis P fluorescence and biomix against Grain mold… ']
[3],['Akola allows barrestaurants open till pm on weekdays only district in Vidarbha so far to take this step  pm cl… ']
[3],['     claims\ngtgtOnly Akola city of Mahaashtra had  Hindu… ']
[3],['    Here is a link to the news of Akola  \n']
[3],['    gtgtExtrapolate that figure to whole HinduSthan\nEven if your clai… ']
[3],['    hats ONE incident from Jamshedpur Chhattisgarh which is a far… ']
[3],[' Akola Planetarium is situated in Nehru Park Akola\nFun fact CV aman amp APJ have one planetarium named after th… ']
[3],['    gtgt eg Only Akola city of Mahaashtra had  Hindu girls taken… ']
[3],['  More discrimination 👇🙏\nAs per Akolas Order by Collector Office estaurants are unsafe HOWEVE Bar with estaurants safe h…']
[3],['    hey r NO SAY or Statistically insignificant \nhey r very… ']
[3],['     \n\nhis is Condition of oad  km from akola Yewta Katkhed oad Where lots of… ']
[3],['Five persons including a couple and their child died when the car they were travelling in rammed into a truck com… ']
[3],[' Ur prediction I observed always false At Akola  mm rains in  hrs never predictedwhich results… ']
[3],['  We thank ameya for donating Platelets to pryanka ingle in ratnalikar hospital akola on  FriendsSup…']
[3],['We thank ameya for donating Platelets to pryanka ingle in ratnalikar hospital akola on  FriendsSupport']
[3],['We thank Ameya Shashikant Kapshe for registering as A blood donor in Akola Maharashtra  FriendsSupport']
[3],[' pakola is awful']
[5],['  Welcome to GOVINDAGOUP where convenience amp a great lifestyle unite to create a truly immersive experience\n\neady to…']
[5],['Welcome to GOVINDAGOUP where convenience amp a great lifestyle unite to create a truly immersive experience\n\nead… ']
[3],['Check out this job adiologist at HarNeediJobPortal in Akola  ']
[3],[' Yes ppl thought he would carry himself well… but they didn’t know they were stanning a baby… akola ketewaaa koraaa 🤣🤣🤣']
[3],[' I’m lucky my little one can’t say Alexa yet he calls her akola and then looks frustrated when she dosnt do as he asks']
[3],[' Sir there was an OFC fault at MIDC Akola which is now restored pl']
[3],['  Anytime now catfish akola ensobi🤫😂😂😂😂']
[3],['  Anytime now catfish akola ensobi🤫😂😂😂😂']
[3],['Anytime now catfish akola ensobi🤫😂😂😂😂']
[3],['INDIA GPC Super Quality Super Farms Pesticides Herbicides Fungicides PesticidesHaryana… ']
[5],['  what a good service boi speed is just as compared as g network really you wil… ']
[3],['“Creativity speaks louder than words”\n\nNeed a logo  branding\nContact  DM\n\n \n ']
[3],['  ashford is faster than Martial and decisive martial akola binji even when its a counter attack']
[3],['cabservicestaxitaxiservicesoutstationcabservicesbookonewaycabonesidetaxionewaytaxioutstationcabroundtrip… ']
[5],['    Very beautiful 🥀🥀🥀🥀❤❤❤']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['  More discrimination 👇🙏\nAs per Akolas Order by Collector Office estaurants are unsafe HOWEVE Bar with estaurants safe h…']
[3],['IPB helps to resolve your career problem  We provide PGCB raining Program  it improves your Professional Bankin… ']
[3],['  More discrimination 👇🙏\nAs per Akolas Order by Collector Office estaurants are unsafe HOWEVE Bar with estaurants safe h…']
[3],['More discrimination 👇🙏\nAs per Akolas Order by Collector Office estaurants are unsafe HOWEVE Bar with estauran… ']
[3],[' Slide']
